Ranking,Name,Location,Overall,Teaching,Research,Citations,Income,Outlook
1,b'University of Oxford',United Kingdom,94.3,86.7,99.5,99.1,63.7,95.0
2,b'University of Cambridge',United Kingdom,93.2,87.8,97.8,97.5,51.5,93.0
3,b'California Institute of Technology',United States,93.0,90.3,97.5,99.5,92.6,59.7
3,b'Stanford University',United States,93.0,89.1,96.7,99.9,60.5,77.6
5,b'Massachusetts Institute of Technology',United States,92.5,87.3,91.9,100.0,88.4,87.6
6,b'Harvard University',United States,91.8,84.2,98.4,99.7,46.4,79.7
7,b'Princeton University',United States,91.1,85.7,93.9,99.6,58.0,78.7
8,b'Imperial College London',United Kingdom,89.2,81.7,88.7,96.7,71.6,96.6
9,b'University of Chicago',United States,88.6,85.3,90.1,99.4,39.8,69.6
10,b'ETH Zurich',Switzerland,87.7,76.4,92.0,94.3,60.3,98.1
10,b'University of Pennsylvania',United States,87.7,83.7,90.1,98.5,56.9,61.3
12,b'Yale University',United States,87.6,86.7,87.0,98.4,45.1,64.6
13,b'Johns Hopkins University',United States,86.5,76.1,88.1,98.4,95.8,70.6
14,b'Columbia University',United States,86.0,82.2,83.3,98.8,41.3,76.6
15,"b'University of California, Los Angeles'",United States,85.7,80.7,88.1,97.9,48.6,59.5
16,b'UCL',United Kingdom,85.3,74.4,88.2,94.6,41.2,94.6
17,b'Duke University',United States,85.1,80.7,80.6,98.3,100.0,62.5
18,"b'University of California, Berkeley'",United States,84.3,77.4,84.5,99.8,37.5,64.5
19,b'Cornell University',United States,84.2,76.2,86.6,97.6,34.6,69.2
20,b'Northwestern University',United States,83.3,72.6,86.7,96.9,78.2,59.2
21,b'University of Michigan-Ann Arbor',United States,83.1,77.2,86.3,95.7,46.2,55.8
22,b'National University of Singapore',Singapore,82.8,77.4,88.2,81.3,61.9,95.8
22,b'University of Toronto',Canada,82.8,74.6,84.8,92.6,46.5,80.1
24,b'Carnegie Mellon University',United States,81.9,65.8,83.7,99.7,50.4,79.1
25,b'London School of Economics and Political Science',United Kingdom,79.4,71.8,72.0,94.9,33.7,92.2
25,b'University of Washington',United States,79.4,67.9,79.9,99.0,47.3,56.5
27,b'University of Edinburgh',United Kingdom,79.2,66.8,74.2,97.0,36.3,92.0
27,b'New York University',United States,79.2,73.7,77.4,96.5,37.0,53.4
27,b'Peking University',China,79.2,83.0,85.1,74.2,100.0,53.0
30,b'Tsinghua University',China,79.0,80.2,93.2,71.4,99.8,41.0
31,"b'University of California, San Diego'",United States,78.7,62.9,79.8,98.6,96.5,51.9
32,b'University of Melbourne',Australia,77.5,64.9,74.2,90.3,70.1,92.7
33,b'Georgia Institute of Technology',United States,77.0,59.7,78.9,94.3,60.2,75.0
34,b'University of British Columbia',Canada,76.2,61.8,72.2,93.4,42.6,92.2
34,b'LMU Munich',Germany,76.2,65.4,72.3,91.3,100.0,66.3
36,b'King\xe2\x80\x99s College London',United Kingdom,75.6,59.3,71.2,94.4,43.9,94.5
37,b'University of Illinois at Urbana-Champaign',United States,75.4,65.8,78.9,88.9,56.0,52.8
38,b'\xc3\x89cole Polytechnique F\xc3\xa9d\xc3\xa9rale de Lausanne',Switzerland,75.3,58.8,66.8,94.2,76.0,98.7
38,b'Karolinska Institute',Sweden,75.3,57.0,74.4,95.9,71.4,70.3
40,b'University of Hong Kong',Hong Kong,75.1,68.8,77.9,74.2,54.0,99.5
41,b'Technical University of Munich',Germany,73.5,60.3,71.2,88.4,100.0,66.8
42,b'McGill University',Canada,73.2,63.4,70.8,84.7,39.8,87.5
43,b'University of Wisconsin-Madison',United States,73.1,68.4,73.9,86.5,45.8,43.4
44,b'The Hong Kong University of Science and Technology',Hong Kong,72.7,55.2,68.4,93.1,58.1,83.4
45,b'Heidelberg University',Germany,72.3,63.6,62.2,94.2,56.0,64.7
46,b'The University of Tokyo',Japan,72.2,79.5,85.2,63.7,52.7,32.2
47,b'KU Leuven',Belgium,71.8,54.2,70.9,88.7,99.9,68.3
48,b'Australian National University',Australia,71.6,52.7,72.0,85.5,61.1,94.3
49,b'University of Texas at Austin',United States,71.4,60.9,68.3,95.7,48.2,36.7
50,b'Brown University',United States,70.8,63.8,57.9,96.7,34.1,59.0
50,b'Washington University in St Louis',United States,70.8,60.8,59.7,99.4,36.9,52.1
52,"b'Nanyang Technological University, Singapore'",Singapore,70.5,49.5,63.0,90.7,94.0,95.9
53,"b'University of California, Santa Barbara'",United States,70.0,50.0,61.5,98.8,82.0,65.4
54,"b'University of California, Davis'",United States,69.5,60.9,64.5,86.0,53.4,63.7
54,b'University of Manchester',United Kingdom,69.5,56.3,65.3,84.3,44.1,88.7
56,b'University of Minnesota',United States,69.0,57.6,67.9,87.5,90.4,37.7
56,b'University of North Carolina at Chapel Hill',United States,69.0,57.9,61.8,96.7,39.2,41.5
58,b'Chinese University of Hong Kong',Hong Kong,68.5,57.0,64.4,80.6,56.8,86.6
59,b'University of Amsterdam',Netherlands,68.4,51.3,62.6,91.9,49.9,72.2
60,b'Purdue University West Lafayette',United States,68.2,62.3,68.9,73.4,63.5,69.9
61,b'University of Sydney',Australia,67.8,50.2,63.1,85.9,67.9,84.6
62,b'Humboldt University of Berlin',Germany,67.4,61.9,67.1,76.1,38.6,65.6
63,b'Delft University of Technology',Netherlands,67.3,53.4,72.0,68.5,99.8,88.5
64,b'Wageningen University & Research',Netherlands,67.2,46.6,53.6,95.2,100.0,80.6
65,b'The University of Queensland',Australia,67.0,47.6,59.4,87.8,76.2,88.8
66,b'University of Southern California',United States,66.8,49.8,58.4,95.6,37.9,63.0
67,b'Leiden University',Netherlands,66.0,44.6,63.2,87.8,78.8,70.5
68,b'Utrecht University',Netherlands,65.8,45.5,63.1,89.9,72.6,59.6
69,"b'University of Maryland, College Park'",United States,65.7,49.6,63.0,93.5,38.4,39.0
70,b'Boston University',United States,65.4,57.1,45.9,97.2,34.0,60.0
70,b'Ohio State University (Main campus)  ',United States,65.4,55.5,56.2,88.0,52.0,56.4
72,b'Erasmus University Rotterdam',Netherlands,65.2,38.9,57.2,96.7,51.7,80.6
72,b'Paris Sciences et Lettres \xe2\x80\x93 PSL Research University Paris',France,65.2,57.0,52.0,85.0,48.2,76.7
74,b'Kyoto University',Japan,64.9,71.8,78.6,50.9,93.8,28.8
74,b'Seoul National University',South Korea,64.9,69.3,71.2,60.6,79.8,34.1
76,b'University of Bristol',United Kingdom,64.8,45.7,51.2,94.7,39.3,84.8
77,b'Penn State (Main campus)  ',United States,64.6,53.6,64.8,81.6,50.0,44.3
78,b'McMaster University',Canada,63.4,45.6,48.8,89.9,89.8,78.1
79,b'RWTH Aachen University',Germany,63.3,53.4,62.4,72.8,99.7,56.4
80,b'University of Glasgow',United Kingdom,63.2,43.4,48.9,92.6,38.6,90.4
80,b'Monash University',Australia,63.2,47.4,55.4,80.9,71.5,83.8
82,b'University of Freiburg',Germany,62.9,47.1,54.3,83.1,100.0,67.2
83,b'University of Groningen',Netherlands,62.8,40.7,54.8,89.0,77.2,74.4
83,b'Michigan State University',United States,62.8,55.1,53.3,82.6,35.7,61.2
85,b'UNSW Sydney',Australia,62.5,40.9,57.5,82.8,49.8,91.4
86,b'Rice University',United States,62.2,45.1,41.9,98.7,42.4,72.7
86,b'Uppsala University',Sweden,62.2,42.9,56.1,84.6,79.5,68.8
88,b'Free University of Berlin',Germany,62.1,58.7,66.5,60.6,39.8,71.8
89,b'Dartmouth College',United States,62.0,58.5,41.9,93.4,37.9,39.1
90,b'University of Helsinki',Finland,61.7,45.7,56.6,86.9,35.5,53.3
91,b'University of Warwick',United Kingdom,61.6,46.6,52.0,80.4,41.0,91.9
92,b'Technical University of Berlin',Germany,61.5,49.0,58.0,74.2,97.8,62.4
93,b'Lund University',Sweden,61.3,40.8,52.6,85.9,70.9,76.1
94,b'University of T\xc3\xbcbingen',Germany,61.2,45.7,55.4,83.0,55.4,60.8
95,b'University of Basel',Switzerland,60.9,39.8,39.9,91.0,99.9,95.9
95,b'Korea Advanced Institute of Science and Technology (KAIST)',South Korea,60.9,56.3,59.2,70.4,100.0,35.6
97,b'Durham University',United Kingdom,60.8,44.8,47.9,84.6,36.8,89.0
98,b'Emory University',United States,60.7,47.1,40.4,98.1,42.3,53.3
99,"b'University of California, Irvine'",United States,60.6,43.4,44.9,93.6,43.9,65.2
100,b'University of Bonn',Germany,60.5,47.3,41.6,91.3,83.5,58.4
100,b'University of Colorado Boulder',United States,60.5,44.8,45.8,97.4,37.5,42.4
100,b'University of Pittsburgh-Pittsburgh campus',United States,60.5,45.7,48.7,94.9,39.9,36.8
103,b'Maastricht University',Netherlands,60.4,40.2,49.7,79.9,87.6,96.7
104,b'University of Sheffield',United Kingdom,60.1,42.9,45.7,86.8,43.7,85.4
105,b'University of Bern',Switzerland,60.0,42.7,43.6,85.4,81.0,85.7
105,b'Vanderbilt University',United States,60.0,47.7,41.4,96.9,52.8,38.9
107,b'Ghent University',Belgium,59.8,44.4,56.2,77.6,84.3,56.8
108,b'University of Montreal',Canada,59.6,44.5,48.9,79.0,65.3,83.2
109,b'Aarhus University',Denmark,59.4,37.3,53.6,82.7,67.6,75.3
109,b'University of Copenhagen',Denmark,59.4,44.0,39.7,90.6,44.6,79.3
111,b'Sungkyunkwan University (SKKU)',South Korea,59.3,54.1,55.1,69.5,93.7,44.7
111,b'University of Western Australia',Australia,59.3,33.5,46.1,90.6,54.5,91.9
113,b'University of G\xc3\xb6ttingen',Germany,59.2,47.1,50.3,82.4,33.7,58.6
113,b'University of Virginia (Main campus)  ',United States,59.2,52.4,40.7,89.3,40.6,46.5
115,b'\xc3\x89cole Polytechnique',France,59.1,54.4,38.2,75.1,70.8,93.4
116,b'Fudan University',China,58.9,59.5,57.5,65.1,53.0,38.7
117,b'Indiana University',United States,58.7,50.5,46.5,81.9,51.5,50.5
117,b'Trinity College Dublin',Ireland,58.7,45.3,44.8,79.0,41.2,92.1
119,b'University of Alberta',Canada,58.6,47.2,51.2,70.5,63.4,84.8
119,b'City University of Hong Kong',Hong Kong,58.6,40.8,48.6,79.4,65.9,84.4
121,b'Queen Mary University of London',United Kingdom,58.5,32.8,38.2,96.7,39.1,95.5
122,b'Radboud University Nijmegen',Netherlands,58.4,33.9,50.4,89.4,44.8,68.8
123,b'Georgetown University',United States,58.3,51.8,37.2,87.5,66.3,49.6
123,b'Pierre and Marie Curie University',France,58.3,49.5,39.8,85.7,31.8,66.6
125,b'University of Mannheim',Germany,58.2,41.8,53.0,80.5,57.8,55.9
126,b'Arizona State University (Tempe)  ',United States,58.1,41.5,48.3,87.1,35.7,55.2
126,b'Charit\xc3\xa9 - Universit\xc3\xa4tsmedizin Berlin',Germany,58.1,43.3,39.2,88.6,87.5,60.7
126,b'University of Southampton',United Kingdom,58.1,37.9,43.7,86.0,38.5,92.0
129,b'Universit\xc3\xa9 Catholique de Louvain',Belgium,58.0,38.9,52.2,78.6,54.0,76.7
130,b'University of Exeter',United Kingdom,57.8,34.5,39.3,93.7,34.6,88.8
130,b'University of Geneva',Switzerland,57.8,35.8,43.6,82.9,68.7,98.2
132,b'University of Science and Technology of China',China,57.7,52.7,49.1,76.9,81.7,27.9
133,b'Karlsruhe Institute of Technology',Germany,57.6,44.6,47.7,75.7,97.9,62.9
134,b'University of Adelaide',Australia,57.5,35.9,43.1,85.3,67.3,86.6
134,b'Stockholm University',Sweden,57.5,33.1,48.4,89.1,34.5,72.7
136,b'University of Zurich',Switzerland,57.4,42.0,36.0,87.0,43.2,90.8
137,b'Pohang University of Science and Technology (POSTECH)',South Korea,57.3,47.9,49.8,76.4,99.8,34.3
137,b'University of York',United Kingdom,57.3,40.5,44.9,81.6,34.1,85.3
139,b'University of Leeds',United Kingdom,57.1,42.2,46.7,77.8,38.8,82.1
140,b'Pompeu Fabra University',Spain,56.9,34.7,38.9,97.1,40.0,62.3
141,b'University of Birmingham',United Kingdom,56.8,36.5,38.3,89.7,37.2,86.3
141,b'Eindhoven University of Technology',Netherlands,56.8,41.3,49.0,72.3,100.0,73.9
143,b'University of Florida',United States,56.6,52.8,51.2,68.4,80.7,37.9
143,b'University of St Andrews',United Kingdom,56.6,42.9,42.5,76.6,33.6,95.5
145,b'University of Cologne',Germany,56.4,39.8,42.7,84.8,76.8,57.1
146,b'University of Oslo',Norway,56.3,36.0,42.8,86.8,41.9,73.4
147,b'Autonomous University of Barcelona',Spain,56.2,43.3,36.1,89.5,42.1,60.1
147,b'University of Nottingham',United Kingdom,56.2,40.5,41.9,80.5,38.5,84.4
147,b'University of Sussex',United Kingdom,56.2,34.1,38.1,89.5,33.3,91.5
150,b'Lancaster University',United Kingdom,55.9,37.0,40.5,83.2,33.7,91.1
150,b'University of Notre Dame',United States,55.9,49.8,37.9,83.0,35.3,50.7
152,b'University of Lausanne',Switzerland,55.7,30.4,47.4,78.5,78.4,90.8
153,b'University of Rochester',United States,55.6,41.7,34.2,90.2,39.5,63.7
153,b'Technical University of Denmark',Denmark,55.6,35.9,39.5,81.6,63.8,91.6
155,b'Sant\xe2\x80\x99Anna School of Advanced Studies \xe2\x80\x93 Pisa',Italy,55.5,41.6,36.0,88.0,87.8,48.3
155,b'TU Dresden',Germany,55.5,42.8,46.9,74.2,95.0,52.6
155,b'Ulm University',Germany,55.5,37.1,37.4,90.0,77.3,56.5
158,b'Case Western Reserve University',United States,55.2,44.4,34.9,90.1,36.7,46.1
159,b'University of Leicester',United Kingdom,55.0,32.2,34.5,91.4,35.2,89.9
159,b'Texas A&M University',United States,55.0,50.4,56.3,60.2,41.2,52.0
161,b'University of Arizona',United States,54.9,44.3,38.7,85.4,46.1,43.3
162,"b'University of California, Santa Cruz'",United States,54.8,31.5,35.0,99.9,38.2,51.6
162,b'Cardiff University',United Kingdom,54.8,35.8,39.3,84.5,35.5,80.6
162,b'University of Erlangen-Nuremberg',Germany,54.8,39.8,44.0,77.6,95.9,53.0
165,b'University of Vienna',Austria,54.7,42.6,47.6,66.0,33.2,93.4
165,b'Vrije Universiteit Amsterdam',Netherlands,54.7,32.5,40.7,89.1,56.3,60.7
165,b'University of W\xc3\xbcrzburg',Germany,54.7,35.8,42.8,86.5,46.1,53.7
168,b'University of Alabama at Birmingham',United States,54.6,39.7,32.8,95.1,67.6,34.6
169,b'Nanjing University',China,54.5,49.6,47.0,64.9,77.8,54.4
169,b'Tufts University',United States,54.5,44.1,33.4,88.1,36.7,52.7
171,b'University of Cape Town',South Africa,54.4,30.5,36.2,87.0,88.5,81.1
172,"b'Rutgers, the State University of New Jersey'",United States,54.3,43.0,45.3,79.7,36.9,39.2
173,b'KTH Royal Institute of Technology',Sweden,54.2,42.3,46.3,67.0,50.9,83.7
173,b'University of M\xc3\xbcnster',Germany,54.2,40.3,42.1,81.2,60.8,47.7
175,b'Universit\xc3\xa9 libre de Bruxelles',Belgium,54.0,32.4,42.2,80.4,48.4,83.2
175,b'Newcastle University',United Kingdom,54.0,33.4,40.8,80.6,41.6,86.7
177,b'University of Liverpool',United Kingdom,53.9,32.7,34.7,86.8,37.1,89.9
177,b'Zhejiang University',China,53.9,57.0,63.7,45.1,89.4,25.2
179,b'University of Luxembourg',Luxembourg,53.8,26.8,32.4,91.9,39.6,99.8
179,b'University of Twente',Netherlands,53.8,35.5,47.0,68.5,83.6,85.3
181,b'Paris-Sud University',France,53.7,40.4,33.1,86.8,32.3,63.5
182,b'\xc3\x89cole Normale Sup\xc3\xa9rieure de Lyon',France,53.6,40.1,37.8,80.9,37.9,67.3
182,b'Hong Kong Polytechnic University',Hong Kong,53.6,39.1,48.1,67.7,45.8,79.9
184,b'Scuola Normale Superiore di Pisa',Italy,53.4,53.7,33.3,75.4,37.7,49.4
185,b'University of Aberdeen',United Kingdom,53.3,30.3,33.6,87.1,41.9,93.3
186,b'University of Miami',United States,53.1,42.5,24.4,90.3,37.2,67.1
187,b'University of Dundee',United Kingdom,52.9,26.3,32.0,94.5,43.4,79.8
188,b'University of East Anglia',United Kingdom,52.8,29.9,31.6,90.5,32.2,85.6
188,b'Shanghai Jiao Tong University',China,52.8,53.5,62.5,44.1,88.9,33.4
190,b'Aalto University',Finland,52.7,37.8,35.8,79.5,52.5,72.5
191,b'University of Massachusetts',United States,52.6,36.3,32.2,88.8,51.0,54.8
192,b'University of Auckland',New Zealand,52.5,32.5,40.7,73.8,67.3,90.6
193,b'Northeastern University',United States,52.4,35.6,26.8,91.7,35.4,70.1
194,b'Lomonosov Moscow State University',Russian Federation,52.3,74.2,61.6,15.8,89.0,61.1
195,b'Tilburg University',Netherlands,52.1,38.4,50.1,61.3,59.0,75.8
196,b'Paris-Sorbonne University \xe2\x80\x93 Paris 4',France,52.0,44.6,34.3,77.1,32.1,57.9
197,"b'Royal Holloway, University of London'",United Kingdom,51.9,33.9,27.9,85.0,35.0,93.0
198,"b'University of California, Riverside'",United States,51.7,30.0,30.9,92.3,37.4,63.9
198,b'University of Gothenburg',Sweden,51.7,26.7,39.2,87.5,38.9,62.5
198,b'National Taiwan University',Taiwan,51.7,50.4,54.7,53.4,65.0,33.4
201–250,b'Aalborg University',Denmark,48.3–51.6,28.2,36.2,84.2,46.5,70.7
201–250,b'University of Antwerp',Belgium,48.3–51.6,34.6,40.1,73.3,75.9,66.3
201–250,b'University of Barcelona',Spain,48.3–51.6,32.4,32.5,83.2,34.0,50.6
201–250,b'University of Bergen',Norway,48.3–51.6,29.2,30.6,90.0,35.2,75.3
201–250,b'University of Bologna',Italy,48.3–51.6,43.6,30.1,80.0,39.1,47.4
201–250,b'Brandeis University',United States,48.3–51.6,28.9,24.3,99.7,33.7,49.8
201–250,b'University of Calgary',Canada,48.3–51.6,34.6,35.8,77.2,53.5,73.6
201–250,b'Chalmers University of Technology',Sweden,48.3–51.6,35.1,39.6,62.3,70.2,78.3
201–250,b'University of Cincinnati',United States,48.3–51.6,36.9,30.3,82.0,41.0,35.6
201–250,b'Copenhagen Business School',Denmark,48.3–51.6,24.2,36.6,80.8,40.4,91.2
201–250,b'University of Delaware',United States,48.3–51.6,27.8,37.5,79.5,91.0,45.4
201–250,b'University of Duisburg-Essen',Germany,48.3–51.6,32.8,29.9,88.8,73.8,52.7
201–250,b'Florida State University',United States,48.3–51.6,41.3,42.0,73.3,37.2,47.3
201–250,b'University of Fribourg',Switzerland,48.3–51.6,34.2,35.0,65.5,58.5,86.9
201–250,b'George Washington University',United States,48.3–51.6,44.8,30.4,77.2,32.6,50.3
201–250,b'University of Hamburg',Germany,48.3–51.6,43.5,42.0,65.0,67.7,58.0
201–250,b'University of Hawai\xe2\x80\x99i at M\xc4\x81noa',United States,48.3–51.6,37.3,37.1,76.2,49.9,65.9
201–250,b'Hebrew University of Jerusalem',Israel,48.3–51.6,39.9,41.7,71.8,36.3,58.2
201–250,b'University of Iceland',Iceland,48.3–51.6,19.5,29.0,93.4,57.3,63.0
201–250,b'University of Iowa',United States,48.3–51.6,42.0,34.0,78.2,60.6,35.4
201–250,b'James Cook University',Australia,48.3–51.6,23.4,27.7,89.1,42.9,73.9
201–250,b'University of Kiel',Germany,48.3–51.6,31.5,28.1,94.4,9.1,52.4
201–250,b'King Abdulaziz University',Saudi Arabia,48.3–51.6,25.6,15.3,97.3,77.8,92.0
201–250,b'University of Konstanz',Germany,48.3–51.6,39.1,44.5,65.2,69.9,61.8
201–250,b'Korea University',South Korea,48.3–51.6,44.7,47.7,49.0,97.7,49.0
201–250,"b'National University of Ireland, Galway'",Ireland,48.3–51.6,26.8,30.1,80.5,42.5,80.3
201–250,b'Osaka University',Japan,48.3–51.6,53.7,57.6,38.7,81.3,33.5
201–250,b'University of Otago',New Zealand,48.3–51.6,31.2,30.7,82.2,45.1,88.6
201–250,b'University of Ottawa',Canada,48.3–51.6,37.6,37.5,69.1,40.2,73.6
201–250,b'Paris Diderot University \xe2\x80\x93 Paris 7',France,48.3–51.6,30.2,25.8,89.7,32.6,67.7
201–250,b'University of Passau',Germany,48.3–51.6,30.2,23.6,92.7,40.8,49.0
201–250,b'University of Potsdam',Germany,48.3–51.6,35.6,41.4,74.3,42.2,55.0
201–250,b'Queen\xe2\x80\x99s University Belfast',United Kingdom,48.3–51.6,28.3,32.3,83.1,35.7,94.6
201–250,b'Queensland University of Technology',Australia,48.3–51.6,30.7,40.3,73.0,63.2,79.1
201–250,b'University of Reading',United Kingdom,48.3–51.6,34.6,34.9,73.9,36.9,88.8
201–250,b'RCSI University of Medicine and Health Sciences',Ireland,48.3–51.6,31.9,21.8,92.8,40.7,88.6
201–250,b'Ruhr University Bochum',Germany,48.3–51.6,36.6,42.9,62.3,73.2,52.3
201–250,"b'St George\xe2\x80\x99s, University of London'",United Kingdom,48.3–51.6,21.4,23.4,100.0,35.3,69.9
201–250,b'University of South Australia',Australia,48.3–51.6,31.5,36.3,63.3,81.6,91.8
201–250,b'University of Stuttgart',Germany,48.3–51.6,41.1,48.8,60.0,68.8,52.6
201–250,b'Technical University of Darmstadt',Germany,48.3–51.6,39.2,43.7,57.2,95.9,54.3
201–250,b'University of Tampere',Finland,48.3–51.6,25.8,32.4,88.2,51.5,41.6
201–250,b'University of Technology Sydney',Australia,48.3–51.6,29.7,40.5,71.7,51.0,94.2
201–250,b'Tel Aviv University',Israel,48.3–51.6,41.5,52.1,59.4,42.7,49.5
201–250,b'University of Texas at Dallas',United States,48.3–51.6,25.7,29.4,89.8,41.5,57.7
201–250,b'Tohoku University',Japan,48.3–51.6,49.6,50.6,46.5,68.3,34.7
201–250,b'Ulsan National Institute of Science and Technology (UNIST)',South Korea,48.3–51.6,22.9,30.7,95.9,66.0,47.9
201–250,b'University College Dublin',Ireland,48.3–51.6,29.2,37.5,74.0,38.1,89.3
201–250,b'University of Utah',United States,48.3–51.6,37.2,34.1,88.5,46.1,33.0
201–250,b'Vita-Salute San Raffaele University',Italy,48.3–51.6,34.0,23.1,96.3,32.8,45.7
201–250,b'University of Waterloo',Canada,48.3–51.6,35.7,41.7,69.8,42.6,80.0
201–250,b'Western University',Canada,48.3–51.6,41.8,36.1,68.8,55.7,75.2
201–250,b'Yonsei University (Seoul campus)',South Korea,48.3–51.6,48.6,50.2,46.1,99.2,54.6
251–300,b'Aix-Marseille University',France,45.2–48.2,40.2,22.4,70.0,34.4,60.7
251–300,b'University of Bath',United Kingdom,45.2–48.2,33.9,31.7,67.3,36.0,88.3
251–300,b'University of Bayreuth',Germany,45.2–48.2,34.4,34.1,67.8,62.7,54.7
251–300,b'Bielefeld University',Germany,45.2–48.2,36.9,42.0,58.6,54.5,46.3
251–300,b'University of Bremen',Germany,45.2–48.2,36.4,36.5,63.2,45.7,52.1
251–300,b'University at Buffalo',United States,45.2–48.2,38.8,28.5,69.8,44.7,62.5
251–300,b'Clark University',United States,45.2–48.2,23.7,23.7,93.4,32.6,60.0
251–300,b'University of Colorado Denver',United States,45.2–48.2,30.2,18.0,95.1,42.0,29.0
251–300,b'Colorado School of Mines',United States,45.2–48.2,33.6,26.8,81.7,55.5,41.3
251–300,b'Dalhousie University',Canada,45.2–48.2,26.6,28.3,74.3,41.5,82.4
251–300,b'\xc3\x89cole des Ponts ParisTech',France,45.2–48.2,38.1,16.9,74.9,63.3,79.4
251–300,b'University of Essex',United Kingdom,45.2–48.2,33.4,32.0,62.8,32.5,95.8
251–300,b'Goethe University Frankfurt',Germany,45.2–48.2,32.5,27.8,73.4,38.6,60.7
251–300,b'Griffith University',Australia,45.2–48.2,23.4,29.8,77.7,40.7,82.0
251–300,b'University of Hohenheim',Germany,45.2–48.2,34.9,28.8,70.0,50.3,51.7
251–300,b'University of Illinois at Chicago',United States,45.2–48.2,42.1,31.6,68.2,42.1,56.2
251–300,b'Indian Institute of Science',India,45.2–48.2,53.8,48.6,44.4,49.5,19.5
251–300,b'University of Innsbruck',Austria,45.2–48.2,27.5,18.5,77.8,37.5,96.7
251–300,b'Johannes Gutenberg University of Mainz',Germany,45.2–48.2,36.4,23.6,79.8,57.5,55.2
251–300,b'Laval University',Canada,45.2–48.2,37.7,28.7,70.3,54.7,66.8
251–300,b'Macquarie University',Australia,45.2–48.2,31.3,34.4,70.0,41.0,77.0
251–300,b'University of Marburg',Germany,45.2–48.2,35.7,27.7,75.0,36.6,49.9
251–300,b'Medical University of Vienna',Austria,45.2–48.2,31.2,13.5,90.2,36.6,84.1
251–300,b'Moscow Institute of Physics and Technology (MIPT)',Russian Federation,45.2–48.2,47.7,41.4,50.0,99.9,51.7
251–300,b'University of Newcastle',Australia,45.2–48.2,28.0,26.9,73.0,62.9,79.9
251–300,b'North Carolina State University',United States,45.2–48.2,35.6,34.5,68.4,42.5,52.8
251–300,b'Norwegian University of Science and Technology',Norway,45.2–48.2,30.7,34.6,68.3,42.0,64.9
251–300,b'University of Oregon',United States,45.2–48.2,31.1,30.1,84.7,32.0,37.0
251–300,b'Oregon Health and Science University',United States,45.2–48.2,32.2,15.1,99.0,44.5,24.4
251–300,b'University of Oulu',Finland,45.2–48.2,30.2,30.0,79.1,43.2,53.1
251–300,b'Queen\xe2\x80\x99s University',Canada,45.2–48.2,40.0,35.9,61.7,51.0,66.3
251–300,b'University of S\xc3\xa3o Paulo',Brazil,45.2–48.2,52.9,55.5,31.5,38.1,30.9
251–300,b'Simon Fraser University',Canada,45.2–48.2,25.6,33.4,75.6,43.5,90.4
251–300,b'University of Southern Denmark',Denmark,45.2–48.2,21.4,25.3,83.4,68.8,78.1
251–300,b'University of South Florida (Tampa)  ',United States,45.2–48.2,29.6,35.8,74.4,93.0,46.9
251–300,b'Stony Brook University',United States,45.2–48.2,33.0,23.8,84.4,33.4,58.7
251–300,b'University of Surrey',United Kingdom,45.2–48.2,30.3,33.1,64.5,46.3,92.7
251–300,b'Swansea University',United Kingdom,45.2–48.2,22.1,25.6,80.4,34.9,79.9
251–300,b'Swedish University of Agricultural Sciences',Sweden,45.2–48.2,30.0,27.1,79.3,98.1,42.5
251–300,b'Syracuse University',United States,45.2–48.2,32.8,28.7,79.5,37.0,45.6
251–300,b'Tokyo Institute of Technology',Japan,45.2–48.2,49.5,52.9,39.8,67.8,35.8
251–300,b'University of Trento',Italy,45.2–48.2,26.2,29.6,85.1,39.9,58.2
251–300,b'Ume\xc3\xa5 University',Sweden,45.2–48.2,24.9,29.8,81.8,34.9,60.6
251–300,b'Wake Forest University',United States,45.2–48.2,34.8,18.4,91.4,38.4,28.2
251–300,b'William & Mary',United States,45.2–48.2,44.9,18.2,84.6,32.6,32.2
251–300,b'University of the Witwatersrand',South Africa,45.2–48.2,26.6,23.2,76.5,99.9,69.8
251–300,b'University of Wollongong',Australia,45.2–48.2,29.4,33.2,67.1,47.7,88.1
301–350,b'Aberystwyth University',United Kingdom,42.4–45.1,24.2,25.5,76.7,36.6,74.9
301–350,b'University of Alaska Fairbanks',United States,42.4–45.1,25.3,23.2,78.3,44.9,52.8
301–350,b'Anglia Ruskin University ARU',United Kingdom,42.4–45.1,16.7,11.2,99.4,32.6,71.1
301–350,b'Babol Noshirvani University of Technology',Iran,42.4–45.1,24.8,12.2,99.1,56.1,15.5
301–350,b'Bangor University',United Kingdom,42.4–45.1,25.7,21.4,72.7,33.4,83.8
301–350,"b'Birkbeck, University of London'",United Kingdom,42.4–45.1,30.5,32.0,62.2,32.4,87.5
301–350,b'University of Bordeaux',France,42.4–45.1,31.0,22.0,75.2,34.8,54.3
301–350,b'Boston College',United States,42.4–45.1,37.0,20.0,74.1,43.8,53.8
301–350,b'Brighton and Sussex Medical School',United Kingdom,42.4–45.1,18.8,12.9,97.0,31.7,72.0
301–350,b'Charles Darwin University',Australia,42.4–45.1,17.9,18.6,88.0,38.8,82.2
301–350,b'University of Connecticut',United States,42.4–45.1,35.7,28.5,66.8,34.6,48.5
301–350,b'Deakin University',Australia,42.4–45.1,23.3,26.6,72.0,36.2,77.7
